Date_time,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Asym1,Asym2,Asym3,Asym4,Asym5,Asym6,Asym7,Asym8,Temp1U,Temp1L,Temp1S,Temp2U,Temp2L,Temp2S,Temp3U,Temp3L,Temp3S,Temp4U,Temp4L,Temp4S,Temp5U,Temp5L,Temp5S,Temp6U,Temp6L,Temp6S,Temp7U,Temp7L,Temp7S,Temp8U,Temp8L,Temp8S,K8,K7,K6,K5,K4,K3,K2,K1,HeaterWcm
6/1/2020 0:00,-0.104,-0.132,-0.106,-0.081,-0.068,-0.025,-0.01,0.011,1.214,1.072,1,0.987,0.979,1.005,0.987,0.969,13.663,13.767,14.982,14.338,14.471,15.543,15.074,15.181,16.181,15.62,15.701,16.689,16.196,16.265,17.244,16.664,16.689,17.694,17.094,17.105,18.092,17.417,17.405,18.375,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 1:00,-0.218,-0.185,-0.11,-0.092,-0.061,-0.013,-0.008,0.007,1.036,0.98,0.986,0.995,0.985,1,0.973,0.953,11.997,12.215,13.251,12.817,13.003,13.983,13.641,13.751,14.738,14.225,14.317,15.312,14.833,14.894,15.879,15.316,15.33,16.33,15.756,15.764,16.737,16.066,16.058,17.012,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 2:00,-0.103,-0.1,-0.067,-0.047,-0.042,-0.004,0,0.009,1.075,1.01,0.985,1.001,1,1.02,0.996,0.966,10.988,11.091,12.166,11.747,11.847,12.857,12.496,12.563,13.548,13.027,13.075,14.076,13.583,13.625,14.626,14.033,14.038,15.058,14.462,14.462,15.459,14.765,14.756,15.723,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 3:00,-0.112,-0.104,-0.07,-0.055,-0.032,-0.004,0.007,0.022,1.033,1.002,0.983,0.985,0.983,0.994,0.987,0.973,10.016,10.129,11.162,10.717,10.821,11.824,11.424,11.494,12.478,11.93,11.985,12.97,12.467,12.5,13.483,12.887,12.892,13.886,13.284,13.277,14.265,13.572,13.55,14.523,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 4:00,-0.027,-0.051,-0.032,-0.031,-0.013,0,0.014,0.023,1.031,0.977,0.979,0.984,0.991,0.988,0.978,0.957,9.403,9.43,10.462,9.988,10.039,11.016,10.588,10.62,11.6,11.024,11.056,12.04,11.501,11.514,12.505,11.878,11.879,12.868,12.241,12.226,13.205,12.499,12.475,13.432,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 5:00,-0.04,-0.039,-0.013,0,-0.009,0.016,0.019,0.028,1.069,0.989,0.953,0.972,0.972,1.005,0.984,0.964,9.201,9.241,10.311,9.614,9.654,10.643,10.068,10.082,11.035,10.412,10.413,11.386,10.775,10.785,11.758,11.079,11.062,12.068,11.383,11.364,12.349,11.601,11.572,12.537,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 6:00,0.124,0.139,0.131,0.099,0.068,0.047,0.039,0.03,0.895,0.912,0.943,0.958,0.981,0.992,0.987,0.97,10.687,10.563,11.458,10.653,10.513,11.425,10.659,10.527,11.471,10.702,10.602,11.561,10.798,10.73,11.711,10.91,10.862,11.854,11.043,11.004,11.991,11.158,11.127,12.097,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 7:00,0.339,0.408,0.377,0.295,0.222,0.165,0.106,0.063,0.74,0.752,0.818,0.855,0.913,0.949,0.956,0.944,13.994,13.654,14.394,13.562,13.153,13.906,13.076,12.698,13.517,12.715,12.419,13.275,12.371,12.148,13.062,12.142,11.976,12.926,11.936,11.83,12.786,11.816,11.753,12.698,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 8:00,0.547,0.666,0.655,0.568,0.45,0.346,0.257,0.181,0.494,0.605,0.748,0.842,0.931,0.966,0.963,0.958,16.448,15.9,16.395,15.875,15.209,15.814,15.238,14.582,15.331,14.743,14.174,15.016,14.226,13.775,14.707,13.843,13.496,14.463,13.483,13.225,14.188,13.227,13.046,14.004,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 9:00,0.636,0.753,0.726,0.631,0.52,0.421,0.316,0.245,0.418,0.523,0.678,0.797,0.919,0.966,0.986,0.985,18.091,17.455,17.874,17.47,16.716,17.24,16.799,16.073,16.752,16.291,15.659,16.456,15.77,15.249,16.169,15.383,14.962,15.928,14.994,14.677,15.664,14.732,14.486,15.471,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 10:00,0.632,0.726,0.721,0.617,0.526,0.42,0.329,0.262,0.4,0.52,0.703,0.839,0.963,1.019,1.033,1.034,19.667,19.035,19.435,19.078,18.351,18.871,18.443,17.721,18.424,17.931,17.313,18.153,17.42,16.894,17.857,17.026,16.605,17.625,16.645,16.316,17.349,16.384,16.122,17.156,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 11:00,0.869,0.882,0.805,0.676,0.55,0.459,0.348,0.276,0.768,0.72,0.815,0.926,1.044,1.106,1.114,1.123,21.799,20.929,21.698,20.959,20.077,20.797,20.175,19.37,20.185,19.606,18.929,19.856,19.057,18.506,19.551,18.676,18.217,19.323,18.301,17.952,19.067,18.056,17.779,18.903,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 12:00,0.885,0.857,0.775,0.636,0.541,0.455,0.363,0.306,0.596,0.685,0.838,0.963,1.081,1.145,1.175,1.194,22.758,21.872,22.469,22.111,21.254,21.94,21.506,20.73,21.569,21.044,20.408,21.372,20.618,20.076,21.157,20.305,19.85,20.996,19.991,19.627,20.803,19.784,19.478,20.672,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 13:00,0.554,0.624,0.614,0.529,0.464,0.406,0.332,0.284,0.59,0.703,0.857,0.989,1.114,1.18,1.193,1.209,23.294,22.739,23.33,22.954,22.329,23.032,22.56,21.945,22.803,22.207,21.678,22.668,21.856,21.392,22.506,21.599,21.193,22.374,21.337,21.004,22.198,21.165,20.88,22.09,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 14:00,1.154,1.022,0.862,0.69,0.559,0.461,0.366,0.307,0.864,0.857,0.954,1.057,1.162,1.21,1.209,1.222,26.315,25.16,26.025,25.435,24.413,25.27,24.504,23.642,24.596,23.844,23.154,24.212,23.28,22.72,23.883,22.934,22.472,23.683,22.632,22.266,23.476,22.447,22.139,23.362,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 15:00,0.592,0.653,0.644,0.577,0.522,0.475,0.401,0.353,0.72,0.811,0.934,1.051,1.16,1.22,1.233,1.241,24.624,24.032,24.752,24.502,23.848,24.659,24.339,23.694,24.629,24.171,23.594,24.645,23.994,23.472,24.632,23.869,23.393,24.613,23.712,23.311,24.544,23.602,23.248,24.489,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 16:00,0.716,0.703,0.642,0.541,0.473,0.42,0.347,0.303,0.861,0.915,0.999,1.086,1.17,1.214,1.201,1.205,25.645,24.929,25.79,25.53,24.827,25.743,25.347,24.704,25.703,25.137,24.595,25.681,24.905,24.432,25.602,24.733,24.312,25.527,24.531,24.184,25.385,24.393,24.09,25.295,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 17:00,0.518,0.561,0.542,0.479,0.424,0.376,0.312,0.279,0.731,0.793,0.895,0.999,1.084,1.132,1.133,1.144,24.974,24.456,25.187,24.992,24.431,25.224,24.979,24.437,25.332,24.929,24.45,25.449,24.873,24.448,25.532,24.841,24.464,25.597,24.782,24.469,25.602,24.743,24.464,25.609,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 18:00,0.483,0.515,0.496,0.427,0.366,0.317,0.257,0.228,0.768,0.803,0.882,0.976,1.045,1.086,1.08,1.085,24.753,24.269,25.039,24.88,24.365,25.168,24.96,24.464,25.347,24.962,24.534,25.51,24.949,24.583,25.628,24.952,24.634,25.72,24.921,24.664,25.744,24.905,24.677,25.763,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 19:00,0.391,0.401,0.378,0.32,0.278,0.248,0.194,0.17,0.898,0.888,0.9,0.964,1.006,1.034,1.021,1.022,23.955,23.564,24.463,24.178,23.777,24.665,24.387,24.009,24.91,24.486,24.165,25.13,24.582,24.303,25.309,24.668,24.419,25.454,24.716,24.521,25.543,24.751,24.58,25.603,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 20:00,0.241,0.221,0.207,0.177,0.156,0.157,0.126,0.119,1.017,0.954,0.931,0.963,0.974,0.993,0.975,0.976,21.997,21.755,22.772,22.608,22.387,23.341,23.154,22.946,23.877,23.479,23.302,24.265,23.769,23.612,24.587,23.994,23.836,24.829,24.155,24.029,25.004,24.266,24.147,25.123,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 21:00,0.01,0.019,0.045,0.04,0.043,0.068,0.048,0.07,0.987,0.936,0.911,0.942,0.946,0.973,0.956,0.958,20.116,20.105,21.093,20.816,20.796,21.733,21.502,21.456,22.368,21.948,21.907,22.85,22.397,22.353,23.299,22.753,22.684,23.658,23.044,22.996,23.952,23.264,23.193,24.152,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 22:00,-0.044,-0.072,-0.053,-0.04,-0.029,0.008,0.005,0.023,1.063,0.975,0.906,0.931,0.934,0.96,0.936,0.927,18.203,18.248,19.311,19.03,19.102,20.078,19.842,19.895,20.802,20.383,20.423,21.355,20.914,20.944,21.878,21.346,21.337,22.298,21.726,21.72,22.657,21.993,21.97,22.897,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
6/1/2020 23:00,-0.221,-0.228,-0.18,-0.136,-0.093,-0.046,-0.029,-0.008,1.008,0.938,0.906,0.926,0.925,0.932,0.917,0.914,16.633,16.854,17.863,17.386,17.615,18.553,18.198,18.379,19.285,18.784,18.92,19.847,19.388,19.481,20.406,19.863,19.91,20.843,20.293,20.323,21.24,20.594,20.602,21.516,0.935127086,0.996,1.007,0.981,1.002,0.984,1.059613787,1.099,0.026
